
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.231       0.0000      -1.3039         0.00     0.00     0.00
        4   18.092       0.0000      -2.6012         0.00     0.00     0.00
        5   17.860       0.0000      -3.8853         0.00     0.00     0.00
        6   17.538       0.0000      -5.1495         0.00     0.00     0.00
        7   17.126       0.0000      -6.3875         0.00     0.00     0.00
        8   16.626       0.0000      -7.5930         0.00     0.00     0.00
        9   16.042       0.0000      -8.7597         0.00     0.00     0.00
       10   15.376       0.0000      -9.8818         0.00     0.00     0.00
       11   14.632       0.0000      -10.954         0.00     0.00     0.00
       12   13.814       0.0000      -11.970         0.00     0.00     0.00
       13   12.924       0.0000      -12.924         0.00     0.00     0.00
       14   11.970       0.0000      -13.814         0.00     0.00     0.00
       15   10.954       0.0000      -14.632         0.00     0.00     0.00
       16   9.8818       0.0000      -15.376         0.00     0.00     0.00
       17   8.7597       0.0000      -16.042         0.00     0.00     0.00
       18   7.5930       0.0000      -16.626         0.00     0.00     0.00
       19   6.3875       0.0000      -17.126         0.00     0.00     0.00
       20   5.1495       0.0000      -17.538         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   3.8853       0.0000      -17.860         0.00     0.00     0.00
       22   2.6012       0.0000      -18.092         0.00     0.00     0.00
       23   1.3039       0.0000      -18.231         0.00     0.00     0.00
       24   0.0000      -42.750       0.0000         0.00     0.00     0.00
       25   0.0000      -2.3029      -18.371         0.00     0.00     0.00
       26   0.0000      -4.6077      -18.392         0.00     0.00     0.00
       27   0.0000      -6.9120      -18.344         0.00     0.00     0.00
       28   0.0000      -9.2138      -18.227         0.00     0.00     0.00
       29   0.0000      -11.510      -18.033         0.00     0.00     0.00
       30   0.0000      -13.798      -17.756         0.00     0.00     0.00
       31   0.0000      -16.075      -17.396         0.00     0.00     0.00
       32   0.0000      -18.339      -16.962         0.00     0.00     0.00
       33   0.0000      -20.591      -16.474         0.00     0.00     0.00
       34   0.0000      -22.835      -15.946         0.00     0.00     0.00
       35   0.0000      -25.071      -15.388         0.00     0.00     0.00
       36   0.0000      -27.301      -14.803         0.00     0.00     0.00
       37   0.0000      -29.514      -14.159         0.00     0.00     0.00
       38   0.0000      -31.689      -13.398         0.00     0.00     0.00
       39   0.0000      -33.800      -12.476         0.00     0.00     0.00
       40   0.0000      -35.818      -11.363         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   0.0000      -37.689      -10.021         0.00     0.00     0.00
       42   0.0000      -39.338      -8.4142         0.00     0.00     0.00
       43   0.0000      -40.674      -6.5400         0.00     0.00     0.00
       44   0.0000      -41.680      -4.4687         0.00     0.00     0.00
       45   0.0000      -42.371      -2.2716         0.00     0.00     0.00
       46   18.371      -2.3029       0.0000         0.00     0.00     0.00
       47   18.392      -4.6077       0.0000         0.00     0.00     0.00
       48   18.344      -6.9120       0.0000         0.00     0.00     0.00
       49   18.227      -9.2138       0.0000         0.00     0.00     0.00
       50   18.033      -11.510       0.0000         0.00     0.00     0.00
       51   17.756      -13.798       0.0000         0.00     0.00     0.00
       52   17.396      -16.075       0.0000         0.00     0.00     0.00
       53   16.962      -18.339       0.0000         0.00     0.00     0.00
       54   16.474      -20.591       0.0000         0.00     0.00     0.00
       55   15.946      -22.835       0.0000         0.00     0.00     0.00
       56   15.388      -25.071       0.0000         0.00     0.00     0.00
       57   14.803      -27.301       0.0000         0.00     0.00     0.00
       58   14.159      -29.514       0.0000         0.00     0.00     0.00
       59   13.398      -31.689       0.0000         0.00     0.00     0.00
       60   12.476      -33.800       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   11.363      -35.818       0.0000         0.00     0.00     0.00
       62   10.021      -37.689       0.0000         0.00     0.00     0.00
       63   8.4142      -39.338       0.0000         0.00     0.00     0.00
       64   6.5400      -40.674       0.0000         0.00     0.00     0.00
       65   4.4687      -41.680       0.0000         0.00     0.00     0.00
       66   2.2716      -42.371       0.0000         0.00     0.00     0.00
       67   12.124      -17.419      -12.124         0.00     0.00     0.00
       68   12.977      -1.6460      -12.977         0.00     0.00     0.00
       69   13.003      -3.2983      -13.003         0.00     0.00     0.00
       70   13.003      -4.9556      -13.003         0.00     0.00     0.00
       71   12.978      -6.6159      -12.978         0.00     0.00     0.00
       72   12.928      -8.2774      -12.928         0.00     0.00     0.00
       73   12.851      -9.9380      -12.851         0.00     0.00     0.00
       74   12.745      -11.595      -12.745         0.00     0.00     0.00
       75   12.608      -13.246      -12.608         0.00     0.00     0.00
       76   12.444      -14.862      -12.444         0.00     0.00     0.00
       77   12.266      -16.351      -12.266         0.00     0.00     0.00
       78   1.2327      -24.490      -15.487         0.00     0.00     0.00
       79   2.4788      -23.876      -15.493         0.00     0.00     0.00
       80   3.7381      -23.227      -15.403         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       81   4.9971      -22.540      -15.218         0.00     0.00     0.00
       82   6.2372      -21.821      -14.940         0.00     0.00     0.00
       83   7.4413      -21.071      -14.574         0.00     0.00     0.00
       84   8.5943      -20.297      -14.132         0.00     0.00     0.00
       85   9.6837      -19.504      -13.625         0.00     0.00     0.00
       86   10.686      -18.706      -13.074         0.00     0.00     0.00
       87   11.547      -17.959      -12.530         0.00     0.00     0.00
       88   15.486      -24.490      -1.2375         0.00     0.00     0.00
       89   15.491      -23.876      -2.4865         0.00     0.00     0.00
       90   15.401      -23.227      -3.7465         0.00     0.00     0.00
       91   15.215      -22.541      -5.0046         0.00     0.00     0.00
       92   14.937      -21.821      -6.2431         0.00     0.00     0.00
       93   14.572      -21.071      -7.4454         0.00     0.00     0.00
       94   14.130      -20.298      -8.5969         0.00     0.00     0.00
       95   13.624      -19.504      -9.6852         0.00     0.00     0.00
       96   13.073      -18.706      -10.687         0.00     0.00     0.00
       97   12.530      -17.959      -11.547         0.00     0.00     0.00
       98   13.866      -1.6684      -12.023         0.00     0.00     0.00
       99   14.688      -1.7244      -11.007         0.00     0.00     0.00
      100   15.438      -1.7930      -9.9321         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      101   16.110      -1.8627      -8.8038         0.00     0.00     0.00
      102   16.701      -1.9310      -7.6285         0.00     0.00     0.00
      103   17.207      -1.9975      -6.4132         0.00     0.00     0.00
      104   17.623      -2.0622      -5.1655         0.00     0.00     0.00
      105   17.949      -2.1249      -3.8931         0.00     0.00     0.00
      106   18.183      -2.1856      -2.6035         0.00     0.00     0.00
      107   18.323      -2.2446      -1.3039         0.00     0.00     0.00
      108   13.889      -3.3432      -12.052         0.00     0.00     0.00
      109   14.710      -3.4551      -11.038         0.00     0.00     0.00
      110   15.460      -3.5923      -9.9613         0.00     0.00     0.00
      111   16.135      -3.7316      -8.8284         0.00     0.00     0.00
      112   16.728      -3.8679      -7.6465         0.00     0.00     0.00
      113   17.235      -4.0007      -6.4237         0.00     0.00     0.00
      114   17.652      -4.1298      -5.1689         0.00     0.00     0.00
      115   17.977      -4.2549      -3.8911         0.00     0.00     0.00
      116   18.209      -4.3759      -2.5991         0.00     0.00     0.00
      117   18.347      -4.4931      -1.3005         0.00     0.00     0.00
      118   13.883      -5.0229      -12.059         0.00     0.00     0.00
      119   14.698      -5.1904      -11.048         0.00     0.00     0.00
      120   15.444      -5.3959      -9.9714         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      121   16.117      -5.6045      -8.8360         0.00     0.00     0.00
      122   16.708      -5.8084      -7.6496         0.00     0.00     0.00
      123   17.212      -6.0071      -6.4217         0.00     0.00     0.00
      124   17.626      -6.2002      -5.1622         0.00     0.00     0.00
      125   17.946      -6.3871      -3.8815         0.00     0.00     0.00
      126   18.172      -6.5677      -2.5896         0.00     0.00     0.00
      127   18.304      -6.7423      -1.2945         0.00     0.00     0.00
      128   13.847      -6.7055      -12.043         0.00     0.00     0.00
      129   14.651      -6.9284      -11.037         0.00     0.00     0.00
      130   15.390      -7.2019      -9.9633         0.00     0.00     0.00
      131   16.055      -7.4792      -8.8275         0.00     0.00     0.00
      132   16.640      -7.7504      -7.6391         0.00     0.00     0.00
      133   17.138      -8.0145      -6.4084         0.00     0.00     0.00
      134   17.544      -8.2708      -5.1466         0.00     0.00     0.00
      135   17.856      -8.5189      -3.8654         0.00     0.00     0.00
      136   18.073      -8.7585      -2.5758         0.00     0.00     0.00
      137   18.196      -8.9899      -1.2865         0.00     0.00     0.00
      138   13.782      -8.3891      -12.005         0.00     0.00     0.00
      139   14.571      -8.6672      -11.007         0.00     0.00     0.00
      140   15.296      -9.0081      -9.9373         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      141   15.949      -9.3538      -8.8033         0.00     0.00     0.00
      142   16.523      -9.6916      -7.6151         0.00     0.00     0.00
      143   17.010      -10.020      -6.3838         0.00     0.00     0.00
      144   17.404      -10.339      -5.1221         0.00     0.00     0.00
      145   17.704      -10.648      -3.8426         0.00     0.00     0.00
      146   17.907      -10.946      -2.5576         0.00     0.00     0.00
      147   18.016      -11.233      -1.2762         0.00     0.00     0.00
      148   13.686      -10.072      -11.943         0.00     0.00     0.00
      149   14.455      -10.404      -10.955         0.00     0.00     0.00
      150   15.159      -10.812      -9.8914         0.00     0.00     0.00
      151   15.795      -11.226      -8.7612         0.00     0.00     0.00
      152   16.352      -11.629      -7.5753         0.00     0.00     0.00
      153   16.822      -12.022      -6.3460         0.00     0.00     0.00
      154   17.199      -12.403      -5.0869         0.00     0.00     0.00
      155   17.481      -12.771      -3.8118         0.00     0.00     0.00
      156   17.666      -13.127      -2.5341         0.00     0.00     0.00
      157   17.757      -13.469      -1.2633         0.00     0.00     0.00
      158   13.556      -11.751      -11.854         0.00     0.00     0.00
      159   14.298      -12.137      -10.878         0.00     0.00     0.00
      160   14.977      -12.611      -9.8226         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      161   15.588      -13.091      -8.6983         0.00     0.00     0.00
      162   16.123      -13.560      -7.5173         0.00     0.00     0.00
      163   16.571      -14.016      -6.2929         0.00     0.00     0.00
      164   16.926      -14.458      -5.0394         0.00     0.00     0.00
      165   17.185      -14.885      -3.7719         0.00     0.00     0.00
      166   17.348      -15.297      -2.5047         0.00     0.00     0.00
      167   17.417      -15.693      -1.2474         0.00     0.00     0.00
      168   13.392      -13.423      -11.738         0.00     0.00     0.00
      169   14.102      -13.863      -10.775         0.00     0.00     0.00
      170   14.749      -14.402      -9.7291         0.00     0.00     0.00
      171   15.331      -14.947      -8.6129         0.00     0.00     0.00
      172   15.837      -15.480      -7.4397         0.00     0.00     0.00
      173   16.259      -15.999      -6.2233         0.00     0.00     0.00
      174   16.588      -16.501      -4.9788         0.00     0.00     0.00
      175   16.822      -16.986      -3.7223         0.00     0.00     0.00
      176   16.960      -17.454      -2.4688         0.00     0.00     0.00
      177   17.005      -17.905      -1.2284         0.00     0.00     0.00
      178   13.184      -15.074      -11.605         0.00     0.00     0.00
      179   13.859      -15.569      -10.658         0.00     0.00     0.00
      180   14.471      -16.174      -9.6228         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      181   15.020      -16.786      -8.5168         0.00     0.00     0.00
      182   15.496      -17.385      -7.3537         0.00     0.00     0.00
      183   15.890      -17.966      -6.1477         0.00     0.00     0.00
      184   16.193      -18.530      -4.9147         0.00     0.00     0.00
      185   16.402      -19.075      -3.6711         0.00     0.00     0.00
      186   16.516      -19.600      -2.4326         0.00     0.00     0.00
      187   16.539      -20.105      -1.2095         0.00     0.00     0.00
      188   12.916      -16.628      -11.503         0.00     0.00     0.00
      189   13.534      -17.212      -10.591         0.00     0.00     0.00
      190   14.114      -17.894      -9.5686         0.00     0.00     0.00
      191   14.635      -18.584      -8.4733         0.00     0.00     0.00
      192   15.087      -19.257      -7.3197         0.00     0.00     0.00
      193   15.458      -19.912      -6.1216         0.00     0.00     0.00
