
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.258       0.0000     -0.84414         0.00     0.00     0.00
        4   18.200       0.0000      -1.6865         0.00     0.00     0.00
        5   18.103       0.0000      -2.5252         0.00     0.00     0.00
        6   17.967       0.0000      -3.3586         0.00     0.00     0.00
        7   17.793       0.0000      -4.1848         0.00     0.00     0.00
        8   17.580       0.0000      -5.0020         0.00     0.00     0.00
        9   17.330       0.0000      -5.8086         0.00     0.00     0.00
       10   17.044       0.0000      -6.6028         0.00     0.00     0.00
       11   16.721       0.0000      -7.3829         0.00     0.00     0.00
       12   16.362       0.0000      -8.1472         0.00     0.00     0.00
       13   15.968       0.0000      -8.8942         0.00     0.00     0.00
       14   15.540       0.0000      -9.6221         0.00     0.00     0.00
       15   15.079       0.0000      -10.330         0.00     0.00     0.00
       16   14.586       0.0000      -11.015         0.00     0.00     0.00
       17   14.062       0.0000      -11.677         0.00     0.00     0.00
       18   13.508       0.0000      -12.314         0.00     0.00     0.00
       19   12.924       0.0000      -12.924         0.00     0.00     0.00
       20   12.314       0.0000      -13.508         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   11.677       0.0000      -14.062         0.00     0.00     0.00
       22   11.015       0.0000      -14.586         0.00     0.00     0.00
       23   10.330       0.0000      -15.079         0.00     0.00     0.00
       24   9.6221       0.0000      -15.540         0.00     0.00     0.00
       25   8.8942       0.0000      -15.968         0.00     0.00     0.00
       26   8.1472       0.0000      -16.362         0.00     0.00     0.00
       27   7.3829       0.0000      -16.721         0.00     0.00     0.00
       28   6.6028       0.0000      -17.044         0.00     0.00     0.00
       29   5.8086       0.0000      -17.330         0.00     0.00     0.00
       30   5.0020       0.0000      -17.580         0.00     0.00     0.00
       31   4.1848       0.0000      -17.793         0.00     0.00     0.00
       32   3.3586       0.0000      -17.967         0.00     0.00     0.00
       33   2.5252       0.0000      -18.103         0.00     0.00     0.00
       34   1.6865       0.0000      -18.200         0.00     0.00     0.00
       35  0.84414       0.0000      -18.258         0.00     0.00     0.00
       36   0.0000      -42.750       0.0000         0.00     0.00     0.00
       37   0.0000      -1.5417      -18.370         0.00     0.00     0.00
       38   0.0000      -3.0847      -18.438         0.00     0.00     0.00
       39   0.0000      -4.6286      -18.481         0.00     0.00     0.00
       40   0.0000      -6.1729      -18.500         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   0.0000      -7.7174      -18.500         0.00     0.00     0.00
       42   0.0000      -9.2618      -18.484         0.00     0.00     0.00
       43   0.0000      -10.806      -18.455         0.00     0.00     0.00
       44   0.0000      -12.350      -18.414         0.00     0.00     0.00
       45   0.0000      -13.894      -18.362         0.00     0.00     0.00
       46   0.0000      -15.437      -18.300         0.00     0.00     0.00
       47   0.0000      -16.980      -18.227         0.00     0.00     0.00
       48   0.0000      -18.522      -18.143         0.00     0.00     0.00
       49   0.0000      -20.063      -18.047         0.00     0.00     0.00
       50   0.0000      -21.604      -17.938         0.00     0.00     0.00
       51   0.0000      -23.143      -17.809         0.00     0.00     0.00
       52   0.0000      -24.679      -17.647         0.00     0.00     0.00
       53   0.0000      -26.209      -17.439         0.00     0.00     0.00
       54   0.0000      -27.729      -17.167         0.00     0.00     0.00
       55   0.0000      -29.233      -16.817         0.00     0.00     0.00
       56   0.0000      -30.711      -16.368         0.00     0.00     0.00
       57   0.0000      -32.149      -15.805         0.00     0.00     0.00
       58   0.0000      -33.529      -15.114         0.00     0.00     0.00
       59   0.0000      -34.839      -14.297         0.00     0.00     0.00
       60   0.0000      -36.072      -13.368         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   0.0000      -37.225      -12.340         0.00     0.00     0.00
       62   0.0000      -38.292      -11.224         0.00     0.00     0.00
       63   0.0000      -39.269      -10.028         0.00     0.00     0.00
       64   0.0000      -40.149      -8.7599         0.00     0.00     0.00
       65   0.0000      -40.922      -7.4234         0.00     0.00     0.00
       66   0.0000      -41.574      -6.0239         0.00     0.00     0.00
       67   0.0000      -42.091      -4.5691         0.00     0.00     0.00
       68   0.0000      -42.462      -3.0705         0.00     0.00     0.00
       69   0.0000      -42.682      -1.5424         0.00     0.00     0.00
       70   18.370      -1.5417       0.0000         0.00     0.00     0.00
       71   18.438      -3.0847       0.0000         0.00     0.00     0.00
       72   18.481      -4.6286       0.0000         0.00     0.00     0.00
       73   18.500      -6.1729       0.0000         0.00     0.00     0.00
       74   18.500      -7.7174       0.0000         0.00     0.00     0.00
       75   18.484      -9.2618       0.0000         0.00     0.00     0.00
       76   18.455      -10.806       0.0000         0.00     0.00     0.00
       77   18.414      -12.350       0.0000         0.00     0.00     0.00
       78   18.362      -13.894       0.0000         0.00     0.00     0.00
       79   18.300      -15.437       0.0000         0.00     0.00     0.00
       80   18.227      -16.980       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       81   18.143      -18.522       0.0000         0.00     0.00     0.00
       82   18.047      -20.063       0.0000         0.00     0.00     0.00
       83   17.938      -21.604       0.0000         0.00     0.00     0.00
       84   17.809      -23.143       0.0000         0.00     0.00     0.00
       85   17.647      -24.679       0.0000         0.00     0.00     0.00
       86   17.439      -26.209       0.0000         0.00     0.00     0.00
       87   17.167      -27.729       0.0000         0.00     0.00     0.00
       88   16.817      -29.233       0.0000         0.00     0.00     0.00
       89   16.368      -30.711       0.0000         0.00     0.00     0.00
       90   15.805      -32.149       0.0000         0.00     0.00     0.00
       91   15.114      -33.529       0.0000         0.00     0.00     0.00
       92   14.297      -34.839       0.0000         0.00     0.00     0.00
       93   13.368      -36.072       0.0000         0.00     0.00     0.00
       94   12.340      -37.225       0.0000         0.00     0.00     0.00
       95   11.224      -38.292       0.0000         0.00     0.00     0.00
       96   10.028      -39.269       0.0000         0.00     0.00     0.00
       97   8.7599      -40.149       0.0000         0.00     0.00     0.00
       98   7.4234      -40.922       0.0000         0.00     0.00     0.00
       99   6.0239      -41.574       0.0000         0.00     0.00     0.00
      100   4.5691      -42.091       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      101   3.0705      -42.462       0.0000         0.00     0.00     0.00
      102   1.5424      -42.682       0.0000         0.00     0.00     0.00
      103   12.863      -17.673      -12.863         0.00     0.00     0.00
      104   12.971      -1.0631      -12.971         0.00     0.00     0.00
      105   13.010      -2.1287      -13.010         0.00     0.00     0.00
      106   13.041      -3.1959      -13.041         0.00     0.00     0.00
      107   13.062      -4.2644      -13.062         0.00     0.00     0.00
      108   13.076      -5.3337      -13.076         0.00     0.00     0.00
      109   13.082      -6.4034      -13.082         0.00     0.00     0.00
      110   13.082      -7.4732      -13.082         0.00     0.00     0.00
      111   13.077      -8.5430      -13.077         0.00     0.00     0.00
      112   13.066      -9.6124      -13.066         0.00     0.00     0.00
      113   13.052      -10.682      -13.052         0.00     0.00     0.00
      114   13.033      -11.750      -13.033         0.00     0.00     0.00
      115   13.010      -12.819      -13.010         0.00     0.00     0.00
      116   12.984      -13.886      -12.984         0.00     0.00     0.00
      117   12.955      -14.954      -12.955         0.00     0.00     0.00
      118   12.922      -16.004      -12.922         0.00     0.00     0.00
      119   12.888      -16.976      -12.888         0.00     0.00     0.00
      120  0.81788      -25.761      -17.487         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      121   1.6464      -25.300      -17.492         0.00     0.00     0.00
      122   2.4898      -24.825      -17.453         0.00     0.00     0.00
      123   3.3456      -24.336      -17.368         0.00     0.00     0.00
      124   4.2083      -23.835      -17.235         0.00     0.00     0.00
      125   5.0719      -23.325      -17.054         0.00     0.00     0.00
      126   5.9302      -22.807      -16.825         0.00     0.00     0.00
      127   6.7772      -22.283      -16.550         0.00     0.00     0.00
      128   7.6072      -21.755      -16.232         0.00     0.00     0.00
      129   8.4148      -21.222      -15.874         0.00     0.00     0.00
      130   9.1949      -20.686      -15.480         0.00     0.00     0.00
      131   9.9431      -20.146      -15.054         0.00     0.00     0.00
      132   10.656      -19.605      -14.602         0.00     0.00     0.00
      133   11.330      -19.061      -14.129         0.00     0.00     0.00
      134   11.954      -18.523      -13.647         0.00     0.00     0.00
      135   12.496      -18.027      -13.192         0.00     0.00     0.00
      136   17.486      -25.761     -0.82074         0.00     0.00     0.00
      137   17.491      -25.300      -1.6517         0.00     0.00     0.00
      138   17.452      -24.825      -2.4969         0.00     0.00     0.00
      139   17.366      -24.336      -3.3537         0.00     0.00     0.00
      140   17.233      -23.835      -4.2167         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      141   17.051      -23.325      -5.0801         0.00     0.00     0.00
      142   16.822      -22.807      -5.9377         0.00     0.00     0.00
      143   16.548      -22.283      -6.7838         0.00     0.00     0.00
      144   16.230      -21.755      -7.6126         0.00     0.00     0.00
      145   15.872      -21.222      -8.4189         0.00     0.00     0.00
      146   15.478      -20.686      -9.1979         0.00     0.00     0.00
      147   15.053      -20.146      -9.9452         0.00     0.00     0.00
      148   14.601      -19.605      -10.657         0.00     0.00     0.00
      149   14.128      -19.061      -11.330         0.00     0.00     0.00
      150   13.647      -18.523      -11.955         0.00     0.00     0.00
      151   13.192      -18.027      -12.496         0.00     0.00     0.00
      152   13.555      -1.0727      -12.360         0.00     0.00     0.00
      153   14.111      -1.0967      -11.724         0.00     0.00     0.00
      154   14.639      -1.1264      -11.061         0.00     0.00     0.00
      155   15.135      -1.1571      -10.374         0.00     0.00     0.00
      156   15.601      -1.1877      -9.6633         0.00     0.00     0.00
      157   16.033      -1.2182      -8.9316         0.00     0.00     0.00
      158   16.431      -1.2486      -8.1802         0.00     0.00     0.00
      159   16.793      -1.2790      -7.4109         0.00     0.00     0.00
      160   17.120      -1.3092      -6.6257         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      161   17.410      -1.3393      -5.8263         0.00     0.00     0.00
      162   17.663      -1.3692      -5.0148         0.00     0.00     0.00
      163   17.877      -1.3989      -4.1931         0.00     0.00     0.00
      164   18.053      -1.4282      -3.3632         0.00     0.00     0.00
      165   18.191      -1.4570      -2.5271         0.00     0.00     0.00
      166   18.290      -1.4854      -1.6867         0.00     0.00     0.00
      167   18.349      -1.5134     -0.84388         0.00     0.00     0.00
      168   13.594      -2.1479      -12.400         0.00     0.00     0.00
      169   14.151      -2.1958      -11.763         0.00     0.00     0.00
      170   14.681      -2.2553      -11.100         0.00     0.00     0.00
      171   15.180      -2.3166      -10.411         0.00     0.00     0.00
      172   15.648      -2.3777      -9.6983         0.00     0.00     0.00
      173   16.084      -2.4388      -8.9631         0.00     0.00     0.00
      174   16.485      -2.4997      -8.2076         0.00     0.00     0.00
      175   16.851      -2.5604      -7.4338         0.00     0.00     0.00
      176   17.181      -2.6209      -6.6437         0.00     0.00     0.00
      177   17.473      -2.6811      -5.8396         0.00     0.00     0.00
      178   17.727      -2.7409      -5.0237         0.00     0.00     0.00
      179   17.943      -2.8002      -4.1981         0.00     0.00     0.00
      180   18.120      -2.8588      -3.3651         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      181   18.258      -2.9165      -2.5268         0.00     0.00     0.00
      182   18.357      -2.9732      -1.6855         0.00     0.00     0.00
      183   18.417      -3.0290     -0.84290         0.00     0.00     0.00
      184   13.624      -3.2247      -12.431         0.00     0.00     0.00
      185   14.181      -3.2967      -11.795         0.00     0.00     0.00
      186   14.711      -3.3858      -11.132         0.00     0.00     0.00
      187   15.213      -3.4778      -10.442         0.00     0.00     0.00
      188   15.683      -3.5695      -9.7268         0.00     0.00     0.00
      189   16.120      -3.6610      -8.9886         0.00     0.00     0.00
      190   16.524      -3.7523      -8.2294         0.00     0.00     0.00
      191   16.892      -3.8434      -7.4515         0.00     0.00     0.00
      192   17.223      -3.9341      -6.6572         0.00     0.00     0.00
      193   17.516      -4.0244      -5.8489         0.00     0.00     0.00
      194   17.772      -4.1140      -5.0291         0.00     0.00     0.00
