
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.266       0.0000     -0.65238         0.00     0.00     0.00
        4   18.231       0.0000      -1.3039         0.00     0.00     0.00
        5   18.173       0.0000      -1.9538         0.00     0.00     0.00
        6   18.092       0.0000      -2.6012         0.00     0.00     0.00
        7   17.988       0.0000      -3.2453         0.00     0.00     0.00
        8   17.860       0.0000      -3.8853         0.00     0.00     0.00
        9   17.710       0.0000      -4.5203         0.00     0.00     0.00
       10   17.538       0.0000      -5.1495         0.00     0.00     0.00
       11   17.343       0.0000      -5.7722         0.00     0.00     0.00
       12   17.126       0.0000      -6.3875         0.00     0.00     0.00
       13   16.887       0.0000      -6.9947         0.00     0.00     0.00
       14   16.626       0.0000      -7.5930         0.00     0.00     0.00
       15   16.345       0.0000      -8.1815         0.00     0.00     0.00
       16   16.042       0.0000      -8.7597         0.00     0.00     0.00
       17   15.719       0.0000      -9.3267         0.00     0.00     0.00
       18   15.376       0.0000      -9.8818         0.00     0.00     0.00
       19   15.014       0.0000      -10.424         0.00     0.00     0.00
       20   14.632       0.0000      -10.954         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   14.232       0.0000      -11.469         0.00     0.00     0.00
       22   13.814       0.0000      -11.970         0.00     0.00     0.00
       23   13.378       0.0000      -12.455         0.00     0.00     0.00
       24   12.924       0.0000      -12.924         0.00     0.00     0.00
       25   12.455       0.0000      -13.378         0.00     0.00     0.00
       26   11.970       0.0000      -13.814         0.00     0.00     0.00
       27   11.469       0.0000      -14.232         0.00     0.00     0.00
       28   10.954       0.0000      -14.632         0.00     0.00     0.00
       29   10.424       0.0000      -15.014         0.00     0.00     0.00
       30   9.8818       0.0000      -15.376         0.00     0.00     0.00
       31   9.3267       0.0000      -15.719         0.00     0.00     0.00
       32   8.7597       0.0000      -16.042         0.00     0.00     0.00
       33   8.1815       0.0000      -16.345         0.00     0.00     0.00
       34   7.5930       0.0000      -16.626         0.00     0.00     0.00
       35   6.9947       0.0000      -16.887         0.00     0.00     0.00
       36   6.3875       0.0000      -17.126         0.00     0.00     0.00
       37   5.7722       0.0000      -17.343         0.00     0.00     0.00
       38   5.1495       0.0000      -17.538         0.00     0.00     0.00
       39   4.5203       0.0000      -17.710         0.00     0.00     0.00
       40   3.8853       0.0000      -17.860         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   3.2453       0.0000      -17.988         0.00     0.00     0.00
       42   2.6012       0.0000      -18.092         0.00     0.00     0.00
       43   1.9538       0.0000      -18.173         0.00     0.00     0.00
       44   1.3039       0.0000      -18.231         0.00     0.00     0.00
       45  0.65238       0.0000      -18.266         0.00     0.00     0.00
       46   0.0000      -42.750       0.0000         0.00     0.00     0.00
       47   0.0000      -1.1511      -18.334         0.00     0.00     0.00
       48   0.0000      -2.3029      -18.371         0.00     0.00     0.00
       49   0.0000      -3.4552      -18.390         0.00     0.00     0.00
       50   0.0000      -4.6077      -18.392         0.00     0.00     0.00
       51   0.0000      -5.7600      -18.377         0.00     0.00     0.00
       52   0.0000      -6.9120      -18.344         0.00     0.00     0.00
       53   0.0000      -8.0633      -18.294         0.00     0.00     0.00
       54   0.0000      -9.2138      -18.227         0.00     0.00     0.00
       55   0.0000      -10.363      -18.140         0.00     0.00     0.00
       56   0.0000      -11.510      -18.033         0.00     0.00     0.00
       57   0.0000      -12.656      -17.905         0.00     0.00     0.00
       58   0.0000      -13.798      -17.756         0.00     0.00     0.00
       59   0.0000      -14.938      -17.586         0.00     0.00     0.00
       60   0.0000      -16.075      -17.396         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   0.0000      -17.208      -17.187         0.00     0.00     0.00
       62   0.0000      -18.339      -16.962         0.00     0.00     0.00
       63   0.0000      -19.466      -16.724         0.00     0.00     0.00
       64   0.0000      -20.591      -16.474         0.00     0.00     0.00
       65   0.0000      -21.714      -16.214         0.00     0.00     0.00
       66   0.0000      -22.835      -15.946         0.00     0.00     0.00
       67   0.0000      -23.954      -15.670         0.00     0.00     0.00
       68   0.0000      -25.071      -15.388         0.00     0.00     0.00
       69   0.0000      -26.187      -15.099         0.00     0.00     0.00
       70   0.0000      -27.301      -14.803         0.00     0.00     0.00
       71   0.0000      -28.410      -14.492         0.00     0.00     0.00
       72   0.0000      -29.514      -14.159         0.00     0.00     0.00
       73   0.0000      -30.608      -13.797         0.00     0.00     0.00
       74   0.0000      -31.689      -13.398         0.00     0.00     0.00
       75   0.0000      -32.754      -12.959         0.00     0.00     0.00
       76   0.0000      -33.800      -12.476         0.00     0.00     0.00
       77   0.0000      -34.824      -11.946         0.00     0.00     0.00
       78   0.0000      -35.818      -11.363         0.00     0.00     0.00
       79   0.0000      -36.776      -10.723         0.00     0.00     0.00
       80   0.0000      -37.689      -10.021         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       81   0.0000      -38.548      -9.2522         0.00     0.00     0.00
       82   0.0000      -39.338      -8.4142         0.00     0.00     0.00
       83   0.0000      -40.049      -7.5073         0.00     0.00     0.00
       84   0.0000      -40.674      -6.5400         0.00     0.00     0.00
       85   0.0000      -41.218      -5.5239         0.00     0.00     0.00
       86   0.0000      -41.680      -4.4687         0.00     0.00     0.00
       87   0.0000      -42.064      -3.3823         0.00     0.00     0.00
       88   0.0000      -42.371      -2.2716         0.00     0.00     0.00
       89   0.0000      -42.600      -1.1424         0.00     0.00     0.00
       90   18.334      -1.1511       0.0000         0.00     0.00     0.00
       91   18.371      -2.3029       0.0000         0.00     0.00     0.00
       92   18.390      -3.4552       0.0000         0.00     0.00     0.00
       93   18.392      -4.6077       0.0000         0.00     0.00     0.00
       94   18.377      -5.7600       0.0000         0.00     0.00     0.00
       95   18.344      -6.9120       0.0000         0.00     0.00     0.00
       96   18.294      -8.0633       0.0000         0.00     0.00     0.00
       97   18.227      -9.2138       0.0000         0.00     0.00     0.00
       98   18.140      -10.363       0.0000         0.00     0.00     0.00
       99   18.033      -11.510       0.0000         0.00     0.00     0.00
      100   17.905      -12.656       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      101   17.756      -13.798       0.0000         0.00     0.00     0.00
      102   17.586      -14.938       0.0000         0.00     0.00     0.00
      103   17.396      -16.075       0.0000         0.00     0.00     0.00
      104   17.187      -17.208       0.0000         0.00     0.00     0.00
      105   16.962      -18.339       0.0000         0.00     0.00     0.00
      106   16.724      -19.466       0.0000         0.00     0.00     0.00
      107   16.474      -20.591       0.0000         0.00     0.00     0.00
      108   16.214      -21.714       0.0000         0.00     0.00     0.00
      109   15.946      -22.835       0.0000         0.00     0.00     0.00
      110   15.670      -23.954       0.0000         0.00     0.00     0.00
      111   15.388      -25.071       0.0000         0.00     0.00     0.00
      112   15.099      -26.187       0.0000         0.00     0.00     0.00
      113   14.803      -27.301       0.0000         0.00     0.00     0.00
      114   14.492      -28.410       0.0000         0.00     0.00     0.00
      115   14.159      -29.514       0.0000         0.00     0.00     0.00
      116   13.797      -30.608       0.0000         0.00     0.00     0.00
      117   13.398      -31.689       0.0000         0.00     0.00     0.00
      118   12.959      -32.754       0.0000         0.00     0.00     0.00
      119   12.476      -33.800       0.0000         0.00     0.00     0.00
      120   11.946      -34.824       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      121   11.363      -35.818       0.0000         0.00     0.00     0.00
      122   10.723      -36.776       0.0000         0.00     0.00     0.00
      123   10.021      -37.689       0.0000         0.00     0.00     0.00
      124   9.2522      -38.548       0.0000         0.00     0.00     0.00
      125   8.4142      -39.338       0.0000         0.00     0.00     0.00
      126   7.5073      -40.049       0.0000         0.00     0.00     0.00
      127   6.5400      -40.674       0.0000         0.00     0.00     0.00
      128   5.5239      -41.218       0.0000         0.00     0.00     0.00
      129   4.4687      -41.680       0.0000         0.00     0.00     0.00
      130   3.3823      -42.064       0.0000         0.00     0.00     0.00
      131   2.2716      -42.371       0.0000         0.00     0.00     0.00
      132   1.1424      -42.600       0.0000         0.00     0.00     0.00
      133   12.124      -17.419      -12.124         0.00     0.00     0.00
      134   12.954     -0.81572      -12.954         0.00     0.00     0.00
      135   12.977      -1.6460      -12.977         0.00     0.00     0.00
      136   12.993      -2.4510      -12.993         0.00     0.00     0.00
      137   13.003      -3.2983      -13.003         0.00     0.00     0.00
      138   13.006      -4.0921      -13.006         0.00     0.00     0.00
      139   13.003      -4.9556      -13.003         0.00     0.00     0.00
      140   12.995      -5.7374      -12.995         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      141   12.978      -6.6159      -12.978         0.00     0.00     0.00
      142   12.958      -7.3848      -12.958         0.00     0.00     0.00
      143   12.928      -8.2774      -12.928         0.00     0.00     0.00
      144   12.897      -9.0326      -12.897         0.00     0.00     0.00
      145   12.851      -9.9380      -12.851         0.00     0.00     0.00
      146   12.808      -10.678      -12.808         0.00     0.00     0.00
      147   12.745      -11.595      -12.745         0.00     0.00     0.00
      148   12.689      -12.320      -12.689         0.00     0.00     0.00
      149   12.608      -13.246      -12.608         0.00     0.00     0.00
      150   12.540      -13.953      -12.540         0.00     0.00     0.00
      151   12.444      -14.862      -12.444         0.00     0.00     0.00
      152   12.367      -15.526      -12.367         0.00     0.00     0.00
      153   12.266      -16.351      -12.266         0.00     0.00     0.00
      154   12.201      -16.850      -12.201         0.00     0.00     0.00
      155  0.60582      -24.783      -15.449         0.00     0.00     0.00
      156   1.2327      -24.490      -15.487         0.00     0.00     0.00
      157   1.8269      -24.185      -15.505         0.00     0.00     0.00
      158   2.4788      -23.876      -15.493         0.00     0.00     0.00
      159   3.0668      -23.554      -15.469         0.00     0.00     0.00
      160   3.7381      -23.227      -15.403         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      161   4.3171      -22.890      -15.337         0.00     0.00     0.00
      162   4.9971      -22.540      -15.218         0.00     0.00     0.00
      163   5.5604      -22.192      -15.111         0.00     0.00     0.00
      164   6.2372      -21.821      -14.940         0.00     0.00     0.00
      165   6.7782      -21.464      -14.794         0.00     0.00     0.00
      166   7.4413      -21.071      -14.574         0.00     0.00     0.00
      167   7.9544      -20.711      -14.395         0.00     0.00     0.00
      168   8.5943      -20.297      -14.132         0.00     0.00     0.00
      169   9.0747      -19.937      -13.924         0.00     0.00     0.00
      170   9.6837      -19.504      -13.625         0.00     0.00     0.00
      171   10.127      -19.145      -13.395         0.00     0.00     0.00
      172   10.686      -18.706      -13.074         0.00     0.00     0.00
      173   11.077      -18.364      -12.838         0.00     0.00     0.00
      174   11.547      -17.959      -12.530         0.00     0.00     0.00
      175   11.822      -17.698      -12.342         0.00     0.00     0.00
      176   15.449      -24.783     -0.60750         0.00     0.00     0.00
      177   15.486      -24.490      -1.2374         0.00     0.00     0.00
      178   15.505      -24.185      -1.8312         0.00     0.00     0.00
      179   15.491      -23.876      -2.4865         0.00     0.00     0.00
      180   15.467      -23.555      -3.0722         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      181   15.401      -23.227      -3.7465         0.00     0.00     0.00
      182   15.335      -22.890      -4.3223         0.00     0.00     0.00
      183   15.216      -22.541      -5.0046         0.00     0.00     0.00
      184   15.109      -22.192      -5.5647         0.00     0.00     0.00
      185   14.937      -21.821      -6.2431         0.00     0.00     0.00
      186   14.793      -21.464      -6.7815         0.00     0.00     0.00
      187   14.572      -21.071      -7.4454         0.00     0.00     0.00
      188   14.394      -20.711      -7.9566         0.00     0.00     0.00
      189   14.130      -20.298      -8.5969         0.00     0.00     0.00
      190   13.924      -19.937      -9.0760         0.00     0.00     0.00
      191   13.624      -19.504      -9.6852         0.00     0.00     0.00
      192   13.395      -19.145      -10.128         0.00     0.00     0.00
      193   13.073      -18.706      -10.687         0.00     0.00     0.00
      194   12.838      -18.364      -11.077         0.00     0.00     0.00
      195   12.530      -17.959      -11.547         0.00     0.00     0.00
